,$log(s_C)$,$log(δ_C)$,$log(p_0)$,est_$log(s_C)$,est_$log(δ_C)$,est_$log(p_0)$,ratio_$log(s_C)$,ratio_$log(δ_C)$,ratio_$log(p_0)$
316,-1.892311453819275,-4.07375431060791,-5.730077743530273,-1.5957930088043213,-4.126585960388184,-1.1580419540405273,-0.17042827638044897,0.012885411829046393,-1.5989984902050265
317,-1.0202205181121826,-5.451581954956056,-7.3492326736450195,-1.0168589353561401,-5.480998992919922,-6.342130661010742,-0.003300397342567627,0.005381548803493276,-0.1473811312343964
318,-1.1922626495361328,-5.491640567779541,-3.2299313545227046,-1.3215229511260986,-5.049478530883789,-4.255610466003418,0.1029319344507013,-0.0839420625119457,0.2757773374665586
319,-1.8318500518798828,-4.7575860023498535,-7.952059745788574,-1.2213482856750488,-5.381933212280273,-1.8455615043640137,-0.40537101278484733,0.12330724552693048,-1.4606474130298097
320,-0.9846045970916749,-3.28215765953064,-3.203155517578125,-0.9849199056625366,-3.281472682952881,-3.1979827880859375,0.00032018751035048197,-0.000208718817027903,-0.0016161908620448415
321,-0.9131500720977784,-5.436598777770996,-7.071450233459473,-0.9118266105651855,-5.419995307922363,-7.1326422691345215,-0.0014503875881495603,-0.0030586909047498234,0.00861616667585164
322,-0.965606927871704,-3.1940932273864746,-5.448336601257324,-0.9657622575759888,-3.196445941925049,-5.646668910980225,0.00016084931435171365,0.0007363117829453284,0.035755446703455644
323,-1.9588013887405396,-3.5520148277282715,-4.919491767883301,-1.778656244277954,-3.539212703704834,-1.1236190795898438,-0.09647458955670593,-0.003610697266523035,-1.4766504290869569
324,-1.2177114486694336,-5.950811862945557,-5.447363376617432,-1.2317208051681519,-5.907133102416992,-5.768684387207031,0.011438984880869446,-0.007367036734430119,0.05731233786543681
325,-1.3346576690673828,-3.743460178375244,-5.730031967163086,-1.3295693397521973,-3.7565670013427734,-4.751450538635254,-0.003819746204130235,0.00349514368314527,-0.18727116163920898
326,-1.9588605165481567,-3.1695706844329834,-5.483703136444092,-1.8677295446395874,-3.1439898014068604,-1.2229065895080566,-0.04763938913278854,-0.008103517205010286,-1.5005501519397797
327,-1.9228403568267824,-3.5713715553283687,-4.700243949890137,-1.7868809700012207,-3.558426856994629,-1.2236523628234863,-0.07333182027182011,-0.0036311580800612937,-1.3457742851524699
328,-1.692613124847412,-4.789746761322021,-6.604823589324951,-1.332033634185791,-5.085427761077881,-1.654463291168213,-0.23956673978645374,0.0599016062764085,-1.384323568094004
329,-1.252413272857666,-4.765902519226073,-5.5550947189331055,-1.246373176574707,-4.784151077270508,-4.25148344039917,-0.0048344331691824866,0.0038216707519617816,-0.2674475072251297
330,-0.9328039884567261,-5.513775825500488,-3.714089870452881,-0.9179141521453857,-5.588973045349121,-3.8048176765441895,-0.01609122131080468,0.013545901210055738,0.024134412966963073
331,-1.373775005340576,-4.159708976745605,-3.342038631439209,-1.374144196510315,-4.150538444519043,-3.4914145469665527,0.0002687059879428595,-0.002207042819350024,0.043725978929965714
332,-0.9235702753067015,-4.227344989776611,-4.275413513183594,-0.9240342378616333,-4.222777366638184,-4.264921188354492,0.00050223146931858,-0.0010810786851673168,-0.0024571238656783206
333,-1.4749174118041992,-3.892649173736572,-6.12263011932373,-1.4644052982330322,-3.9065706729888916,-3.2951269149780273,-0.007152775946517458,0.0035699760518071145,-0.6195470776074148
334,-1.0934722423553467,-5.371427536010742,-7.287654876708984,-1.0876227617263794,-5.386800289154053,-5.1960344314575195,-0.0053638146365847725,0.002857861695449233,-0.33828607851150544
335,-1.52284574508667,-5.969178676605225,-7.896731376647949,-1.5246949195861816,-5.984511375427246,-3.1439061164855957,0.0012135521260724616,0.0025653513122763246,-0.9209829111111121
336,-1.289018630981445,-3.247625827789306,-4.760415077209473,-1.2864272594451904,-3.2525057792663574,-5.3224616050720215,-0.0020123679712270334,0.0015014934124004543,0.11160103852168947
337,-1.2683660984039307,-5.957411766052246,-7.10118532180786,-1.294828176498413,-5.82506799697876,-5.671775817871094,0.020648468625972603,-0.022465446630240356,-0.22475945275076664
338,-1.8828881978988647,-3.930400848388672,-6.850333213806152,-1.7126139402389526,-3.9221079349517822,-1.1979637145996094,-0.09478605006899489,-0.0021121699443507826,-1.743674084521924
339,-1.3094828128814695,-3.502307176589966,-7.330273628234862,-1.3061959743499756,-3.5075881481170654,-5.050625801086426,-0.0025131834058036385,0.001506719367851272,-0.37250068849416684
340,-1.1043086051940916,-3.2374887466430664,-7.389353275299072,-1.1036241054534912,-3.2404448986053467,-6.0294928550720215,-0.000620036796618709,0.0009126836825976166,-0.20337731407354734
341,-1.1701892614364624,-5.341556072235107,-4.016887664794922,-1.2026073932647705,-5.19284200668335,-4.643834114074707,0.02732652969919556,-0.02823586970507959,0.1450329526782833
342,-1.2387843132019043,-5.301219463348389,-4.58630895614624,-1.2501718997955322,-5.247659683227539,-4.948691368103027,0.009150555556957268,-0.010154678923086743,0.0760476199650037
343,-1.1560397148132324,-5.259659290313721,-3.9855704307556152,-1.185020089149475,-5.122889518737793,-4.426669120788574,0.02475960227732969,-0.026347611957925978,0.10496696329634249
344,-1.1636906862258911,-3.7229635715484615,-7.263329505920409,-1.1620545387268066,-3.7292959690093994,-6.031924247741699,-0.0014069879636361775,0.0016994574465782255,-0.185772261109821
345,-1.999379515647888,-3.232261896133423,-4.822832584381104,-1.8484892845153809,-3.200943946838379,-1.0353941917419434,-0.07846818772508181,-0.009736419901786558,-1.5385792127640168
346,-1.9997477531433103,-5.132052898406982,-3.579119682312012,-1.1636099815368652,-5.747524261474609,-1.7825212478637695,-0.541493823423944,0.11326344460645957,-0.6970880778835682
347,-1.5106877088546753,-3.4550733566284175,-7.280022621154785,-1.5037933588027954,-3.4616689682006836,-3.940699577331543,-0.0045741617996505855,0.0019071445086856398,-0.6137757042585473
348,-1.7672078609466553,-4.453700065612793,-6.884259223937988,-1.3450164794921875,-4.761974334716797,-1.54768705368042,-0.27299455597416494,0.06692713233590385,-1.4924759406203125
