,line,$log_{10}(s_C)$,$log_{10}(s_C)$.1,$log_{10}(s_C)$.2
65,wt,-0.7556589841842651,-4.250726699829102,-3.655530452728272
66,wt,-0.7407275438308716,-4.334144592285156,-3.767250061035156
67,wt,-0.7339423894882202,-4.371334552764893,-3.794397354125977
68,wt,-0.7357414960861206,-4.345468521118164,-3.792665481567383
69,wt,-0.7466695308685303,-4.299739837646484,-3.716377258300781
70,wt,-0.7338649034500122,-4.361746788024902,-3.811681270599365
71,wt,-0.750666618347168,-4.292577266693115,-3.7137937545776367
72,wt,-0.7316651344299316,-4.397098064422607,-3.8386659622192383
73,wt,-0.7282817363739014,-4.410171031951904,-3.8540287017822266
74,wt,-0.7451698780059814,-4.330827713012695,-3.740711212158203
75,wt,-0.745416522026062,-4.309032917022705,-3.734568119049072
76,wt,-0.7473666667938232,-4.314453125,-3.7227425575256334
77,wt,-0.7257447242736816,-4.423709392547607,-3.877131462097168
78,wt,-0.7568255662918091,-4.229645729064941,-3.637269973754883
79,wt,-0.7397828102111816,-4.342798709869385,-3.781271934509277
80,wt,-0.7211818695068359,-4.439218521118164,-3.886740684509277
81,wt,-0.7456928491592407,-4.302585601806641,-3.7099552154541016
82,wt,-0.7259604930877686,-4.403546333312988,-3.846354961395264
83,wt,-0.731397271156311,-4.370519638061523,-3.815458297729492
84,wt,-0.7426047325134277,-4.31854248046875,-3.7256555557250977
85,wt,-0.7256151437759399,-4.414315223693848,-3.867571830749512
86,wt,-0.741013765335083,-4.334277629852295,-3.750938892364502
87,wt,-0.7362288236618042,-4.34918212890625,-3.7856407165527344
88,wt,-0.7440124750137329,-4.300945281982422,-3.7180967330932617
89,wt,-0.7221529483795166,-4.432587623596191,-3.8950138092041016
90,wt,-0.7420213222503662,-4.333588123321533,-3.767871379852295
91,wt,-0.7293434143066406,-4.381998538970947,-3.827158927917481
92,wt,-0.7573913335800171,-4.256351947784424,-3.662172794342041
93,wt,-0.7255494594573975,-4.3991379737854,-3.8543448448181152
94,wt,-0.7211431264877319,-4.434059143066406,-3.883034706115722
95,wt,-0.7252724170684814,-4.405342102050781,-3.854890823364258
96,wt,-0.750560998916626,-4.301363468170166,-3.702298641204834
97,wt,-0.7493983507156372,-4.293967723846436,-3.7168164253234863
98,wt,-0.7516765594482422,-4.291443347930908,-3.689303398132324
99,wt,-0.7463630437850952,-4.296586513519287,-3.704184055328369
100,ltr,-0.7270399332046509,-4.894359111785889,-4.402129650115967
101,ltr,-0.7135974168777466,-5.014481544494629,-4.523863315582275
102,ltr,-0.7319954633712769,-4.867847442626953,-4.343511581420898
103,ltr,-0.7153892517089844,-4.997684478759766,-4.499162197113037
104,ltr,-0.7334961891174316,-4.884650230407715,-4.369227886199951
105,ltr,-0.7263795137405396,-4.935857772827148,-4.424165725708008
106,ltr,-0.7304036617279053,-4.893928527832031,-4.401291370391846
107,ltr,-0.7498444318771362,-4.745205879211426,-4.206441402435303
108,ltr,-0.7080467939376831,-5.048270225524902,-4.562324523925781
109,ltr,-0.7388886213302612,-4.827110290527344,-4.294299125671387
110,ltr,-0.7324482202529907,-4.892325401306152,-4.380069255828857
111,ltr,-0.7310876846313477,-4.8830156326293945,-4.38859748840332
112,ltr,-0.742358922958374,-4.815252780914307,-4.29951286315918
113,ltr,-0.7495317459106445,-4.762234687805176,-4.246397495269775
114,ltr,-0.753770112991333,-4.713752746582031,-4.175764083862305
115,ltr,-0.7185918092727661,-4.947558403015137,-4.456433773040772
116,ltr,-0.7277170419692993,-4.910396099090576,-4.393718719482422
117,ltr,-0.7470940351486206,-4.796195030212402,-4.25737190246582
118,ltr,-0.7333352565765381,-4.862947463989258,-4.345918655395508
119,ltr,-0.7188717126846313,-4.970190048217773,-4.485893249511719
120,ltr,-0.7401527166366577,-4.828513622283936,-4.2922210693359375
121,ltr,-0.7342405319213867,-4.880511283874512,-4.366938591003418
122,ltr,-0.7275514602661133,-4.9032883644104,-4.4144697189331055
123,ltr,-0.7230168581008911,-4.9266204833984375,-4.4121599197387695
